customer_id,recency_days,frequency_365d,monetary_365d,average_ticket,ecommerce_share,distinct_categories,repurchase_90d,r_score,f_score,m_score,rfm_score,segment
44,10,14,8547.46,610.53,0.9286,5,1,2,2,2,6,Potencial
45,14,20,11496.22,574.81,0.75,5,0,2,3,3,8,Alto valor
46,30,10,5183.14,518.31,0.8,5,1,1,2,2,5,Potencial
47,29,21,10495.64,499.79,0.8571,5,0,1,3,3,7,Alto valor
48,7,10,7090.02,709.0,0.5,5,1,3,2,2,7,Alto valor
51,11,21,12965.26,617.39,0.5238,5,1,2,3,3,8,Alto valor
52,62,25,11111.78,444.47,0.88,5,0,1,3,3,7,Alto valor
53,8,5,2994.85,598.97,0.2,5,1,2,1,1,4,Manutencao
55,4,27,12821.75,474.88,0.037,5,0,3,3,3,9,Alto valor
56,3,4,2289.14,572.29,0.0,5,1,3,1,1,5,Potencial
57,41,19,11435.27,601.86,0.0526,5,0,1,3,3,7,Alto valor
58,26,11,6061.33,551.03,0.6364,5,1,1,2,2,5,Potencial
59,3,20,9810.64,490.53,0.05,5,1,3,3,3,9,Alto valor
60,52,24,14997.37,624.89,0.5833,5,0,1,3,3,7,Alto valor
61,1,2,1373.49,686.75,0.5,5,1,3,1,1,5,Potencial
62,9,8,3446.18,430.77,1.0,5,1,2,1,1,4,Manutencao
63,32,30,15852.63,528.42,0.9,5,0,1,3,3,7,Alto valor
64,41,9,2298.69,255.41,0.6667,5,1,1,2,1,4,Manutencao
65,1,4,2797.46,699.37,0.75,4,1,3,1,1,5,Potencial
66,22,23,15006.14,652.44,0.6522,5,0,2,3,3,8,Alto valor
67,22,15,9002.17,600.14,0.6667,5,0,2,3,3,8,Alto valor
69,31,10,5925.11,592.51,0.1,5,1,1,2,2,5,Potencial
70,57,17,9762.38,574.26,1.0,5,0,1,3,3,7,Alto valor
71,1,7,4701.34,671.62,0.2857,5,1,3,1,1,5,Potencial
72,15,26,15689.51,603.44,0.2308,5,0,2,3,3,8,Alto valor
73,23,8,4876.98,609.62,0.0,5,1,1,1,1,3,Manutencao
74,5,16,8778.55,548.66,1.0,5,1,3,3,2,8,Alto valor
75,8,5,3849.32,769.86,0.2,5,1,2,1,1,4,Manutencao
76,20,16,10341.18,646.32,0.375,5,0,2,3,3,8,Alto valor
77,7,13,7408.6,569.89,0.3077,5,1,3,2,2,7,Alto valor
78,29,9,5718.84,635.43,0.8889,5,1,1,2,2,5,Potencial
79,2,14,7715.17,551.08,0.0,5,1,3,2,2,7,Alto valor
80,2,13,7381.71,567.82,0.8462,5,1,3,2,2,7,Alto valor
82,10,11,5793.11,526.65,1.0,5,1,2,2,2,6,Potencial
83,60,24,17356.96,723.21,0.9167,5,0,1,3,3,7,Alto valor
84,23,8,3759.02,469.88,0.625,5,1,1,1,1,3,Manutencao
86,16,11,7246.55,658.78,0.6364,5,1,2,2,2,6,Potencial
87,29,22,13845.5,629.34,0.6364,5,1,1,3,3,7,Alto valor
89,26,9,5658.02,628.67,0.0,5,1,1,2,2,5,Potencial
92,27,3,1634.31,544.77,1.0,4,1,1,1,1,3,Manutencao
94,14,10,6007.52,600.75,0.4,5,1,2,2,2,6,Potencial
95,14,4,1712.17,428.04,0.75,4,1,2,1,1,4,Manutencao
96,59,7,4212.05,601.72,0.1429,5,1,1,1,1,3,Manutencao
97,14,10,4850.68,485.07,0.4,5,1,2,2,1,5,Potencial
98,56,8,5027.59,628.45,0.5,5,1,1,1,2,4,Manutencao
100,10,6,3456.72,576.12,0.1667,5,1,2,1,1,4,Manutencao
101,16,14,9323.4,665.96,0.6429,5,1,2,2,3,7,Alto valor
102,58,13,8125.26,625.02,0.5385,5,1,1,2,2,5,Potencial
103,1,9,5048.94,560.99,0.5556,5,1,3,2,2,7,Alto valor
104,7,4,2024.47,506.12,0.0,3,1,3,1,1,5,Potencial
106,1,5,3029.42,605.88,0.8,4,1,3,1,1,5,Potencial
107,38,13,6858.36,527.57,0.0769,5,1,1,2,2,5,Potencial
108,19,15,8379.13,558.61,0.1333,5,1,2,3,2,7,Alto valor
109,27,16,8900.56,556.29,0.25,5,1,1,3,2,6,Potencial
110,4,9,6251.42,694.6,0.1111,5,1,3,2,2,7,Alto valor
111,12,1,249.1,249.1,0.0,1,1,2,1,1,4,Manutencao
112,14,8,3773.86,471.73,0.875,4,1,2,1,1,4,Manutencao
113,16,9,4902.98,544.78,0.3333,5,1,2,2,2,6,Potencial
114,21,9,5566.92,618.55,0.5556,5,1,2,2,2,6,Potencial
116,5,10,4980.54,498.05,0.1,5,1,3,2,2,7,Alto valor
117,3,8,4386.93,548.37,0.0,5,1,3,1,1,5,Potencial
118,45,5,2625.02,525.0,0.6,5,1,1,1,1,3,Manutencao
119,19,6,2231.18,371.86,1.0,4,1,2,1,1,4,Manutencao
120,28,8,4349.95,543.74,0.5,5,0,1,1,1,3,Manutencao
123,4,14,5902.42,421.6,0.6429,5,0,3,2,2,7,Alto valor
124,56,12,5974.19,497.85,0.0,5,0,1,2,2,5,Potencial
125,57,17,9912.15,583.07,0.4118,5,0,1,3,3,7,Alto valor
126,37,13,9148.6,703.74,0.6923,5,1,1,2,3,6,Potencial
127,15,9,5435.63,603.96,1.0,5,1,2,2,2,6,Potencial
128,23,8,3898.9,487.36,0.75,5,1,1,1,1,3,Manutencao
129,5,9,5382.92,598.1,0.3333,5,1,3,2,2,7,Alto valor
130,11,2,522.03,261.02,0.0,2,1,2,1,1,4,Manutencao
131,22,14,5558.63,397.05,0.9286,5,0,2,2,2,6,Potencial
132,24,8,2937.54,367.19,0.625,5,1,1,1,1,3,Manutencao
133,7,8,5173.17,646.65,0.25,5,1,3,1,2,6,Potencial
135,14,7,4184.74,597.82,0.4286,5,1,2,1,1,4,Manutencao
136,11,12,9246.52,770.54,0.8333,5,1,2,2,3,7,Alto valor
137,3,7,3505.02,500.72,1.0,4,1,3,1,1,5,Potencial
138,14,10,6558.1,655.81,0.2,5,1,2,2,2,6,Potencial
139,59,8,5797.05,724.63,0.125,4,0,1,1,2,4,Manutencao
140,25,10,4874.95,487.5,0.6,5,1,1,2,1,4,Manutencao
141,1,5,2752.21,550.44,1.0,4,1,3,1,1,5,Potencial
142,10,7,4692.32,670.33,0.7143,5,1,2,1,1,4,Manutencao
143,7,12,6353.0,529.42,0.8333,5,1,3,2,2,7,Alto valor
145,3,7,2711.19,387.31,0.4286,3,1,3,1,1,5,Potencial
146,1,18,10990.47,610.58,0.9444,5,0,3,3,3,9,Alto valor
147,23,14,10734.03,766.72,0.0714,5,1,1,2,3,6,Potencial
149,29,11,7079.92,643.63,0.4545,5,0,1,2,2,5,Potencial
150,13,15,8254.94,550.33,0.6667,5,0,2,3,2,7,Alto valor
152,3,7,2903.35,414.76,0.8571,5,1,3,1,1,5,Potencial
153,48,15,9790.23,652.68,0.6,5,1,1,3,3,7,Alto valor
154,26,6,3040.08,506.68,0.3333,5,1,1,1,1,3,Manutencao
155,5,8,4443.02,555.38,1.0,5,1,3,1,1,5,Potencial
156,26,8,3799.86,474.98,0.5,5,1,1,1,1,3,Manutencao
157,6,4,2660.86,665.22,1.0,5,1,3,1,1,5,Potencial
158,11,10,9180.24,918.02,0.7,5,1,2,2,3,7,Alto valor
159,6,7,3601.03,514.43,0.8571,5,1,3,1,1,5,Potencial
160,18,8,2757.28,344.66,0.5,4,1,2,1,1,4,Manutencao
162,20,11,5121.76,465.61,0.7273,5,1,2,2,2,6,Potencial
163,53,20,9576.09,478.8,0.15,5,0,1,3,3,7,Alto valor
164,2,11,7623.45,693.04,0.4545,5,1,3,2,2,7,Alto valor
165,23,14,7393.84,528.13,0.3571,5,1,1,2,2,5,Potencial
166,52,11,6683.32,607.57,0.9091,5,0,1,2,2,5,Potencial
167,26,5,3213.46,642.69,0.4,4,1,1,1,1,3,Manutencao
169,36,10,5519.24,551.92,0.5,5,0,1,2,2,5,Potencial
170,1,3,2304.9,768.3,1.0,4,1,3,1,1,5,Potencial
171,11,12,5754.22,479.52,1.0,5,1,2,2,2,6,Potencial
172,9,7,6239.17,891.31,0.4286,5,1,2,1,2,5,Potencial
173,3,1,197.9,197.9,1.0,2,1,3,1,1,5,Potencial
174,1,12,6527.16,543.93,0.6667,5,0,3,2,2,7,Alto valor
175,36,11,5474.98,497.73,0.1818,5,1,1,2,2,5,Potencial
176,58,9,4617.53,513.06,0.4444,5,0,1,2,1,4,Manutencao
178,4,14,8358.08,597.01,0.3571,5,1,3,2,2,7,Alto valor
179,25,8,5173.51,646.69,0.25,5,0,1,1,2,4,Manutencao
180,29,11,5646.97,513.36,0.0909,5,0,1,2,2,5,Potencial
181,15,11,6069.0,551.73,0.9091,5,1,2,2,2,6,Potencial
184,8,9,4742.93,526.99,0.2222,5,1,2,2,1,5,Potencial
185,14,7,4991.98,713.14,0.1429,5,1,2,1,2,5,Potencial
186,59,8,3865.64,483.21,0.625,4,0,1,1,1,3,Manutencao
188,14,8,7792.84,974.11,0.75,4,1,2,1,2,5,Potencial
189,14,11,4272.08,388.37,0.5455,5,1,2,2,1,5,Potencial
190,92,10,5788.31,578.83,0.4,5,0,1,2,2,5,Potencial
192,46,7,3434.77,490.68,0.2857,5,0,1,1,1,3,Manutencao
195,1,10,5819.31,581.93,1.0,5,1,3,2,2,7,Alto valor
196,8,15,10076.86,671.79,0.4667,5,0,2,3,3,8,Alto valor
197,15,2,1404.89,702.45,0.0,3,1,2,1,1,4,Manutencao
200,18,5,2758.72,551.74,0.6,4,1,2,1,1,4,Manutencao
